event_uid,artist_uid
4575,16459675
13228,3079814
13228,15368376
13793,9052742
14545,12713617
15964,3441064
16978,12436005
18831,7345789
18831,8374333
19415,4653434
19415,5242653
19415,6164620
19415,12627510
19415,12879651
19415,14241227
25376,1514248
25376,6488545
25376,14489260
28137,8305873
31445,5746522
32789,13555198
43140,4250195
43140,9044029
44355,2215571
44381,5715259
46264,5206216
46406,10589418
47360,3079814
48845,9766595
51930,5138582
51930,6463090
51930,10200834
57361,1858841
57361,3659100
57361,4755766
57361,9438472
57361,13200584
57361,14575347
68305,4312081
68305,5782677
68305,9875528
68305,13118164
73041,12786729
73211,6610720
78381,11364310
80166,493167
80166,3641296
80166,6938651
80166,12039531
80166,12802503
80166,15587302
87368,12968636
88142,8347440
88961,170349
88961,6704897
88961,9955236
88961,11641810
88961,12946665
95014,687393
95014,2420053
95014,3168682
95014,4199480
95014,8148448
95014,9014592
95014,9933946
95014,11900438
95014,13285963
95014,13842267
96142,11879752
96758,3998423
96758,5892494
96758,12657551
97991,11823178
100093,9674672
100737,12566285
100974,1932094
100974,5752375
100974,6698880
100974,7652213
100974,14541856
100974,15303724
101216,15060205
102209,8690027
102792,5874604
102792,13271817
112675,3833833
112675,6824507
112675,10106756
112675,14051691
114598,524680
115075,15473882
116392,3949172
118939,8291093
121032,1178665
121032,3948447
121032,4115442
121032,6076467
121032,6638785
121032,6703933
121032,9925476
121032,10200834
121032,11211005
121032,11581186
121032,12450566
121032,12803990
121032,12890034
121881,2505034
121881,6319969
122454,1911660
122454,15445174
124878,12098467
124878,12295649
127259,627585
127259,1649606
127259,1885999
127259,1954878
127259,2027966
127259,5190200
127259,10572638
127259,12084316
127259,15224920
128617,11265501
131303,5115193
131303,7454992
131417,4314694
134998,14673468
135724,15655501
138566,2269210
138566,2508778
138566,2691882
138566,3101958
138566,7592347
138566,9169368
138566,10658124
138566,11007710
138566,11121015
138566,11179517
138566,12645701
138566,13645319
138721,6206020
138721,7977550
138721,13211665
141062,142004
141062,539518
141062,7293531
141062,15723061
143354,5314029
146644,2572091
146644,11019258
147118,16180640
151969,425887
152708,8055893
158752,1672043
160023,10651933
164038,9130890
164941,8717238
168235,12732651
168992,661185
168992,3003553
168992,3079814
168992,5434812
168992,7129157
168992,8229949
168992,9421025
168992,10557274
168992,14058197
169782,13498362
181169,1131213
182107,3893245
182107,14740826
186116,7077875
187278,11714048
192032,8172505
194141,8984140
194616,5309938
194616,5450792
194616,7063562
194927,1562878
194927,8246906
200413,11531409
202126,7100938
203277,4901059
203277,5309938
203277,14702049
205831,4238064
206628,1626302
206628,12837206
216044,6510722
216044,7218336
219585,9942914
219585,12893900
219915,7592347
223671,2960739
226076,459401
226076,1905218
226076,6467677
226076,14256561
226076,14679969
228513,6204269
228575,281330
229080,8444833
229374,6143838
229504,11364310
229504,13611821
230333,6120160
230333,9776245
239587,6284942
246370,829537
247268,7938405
249508,15722058
249543,2742711
253828,10490059
255722,14335468
258026,12620640
258068,226141
258102,1170868
262553,5639111
262553,9385134
262553,9934402
262553,11010676
262553,12210484
262553,15722058
263317,15384617
263823,10307194
263823,16414964
273283,6610720
276569,8396430
276569,14859060
280641,4308084
282513,969174
284451,1976691
284451,11673391
285236,7785291
292830,1531510
292830,4007003
292830,10556430
292830,11432017
293235,1481418
293607,313025
300736,177569
300736,10174363
300736,12054981
300736,14704927
304243,8147714
304243,10588068
305452,318373
305951,5585821
305951,13193273
306168,12892199
306950,1905449
307217,2999804
307217,3686162
307217,4670158
310956,6592116
310956,9258618
310956,10905279
310956,12890443
326055,10556036
328047,12396543
328668,2354950
328668,9480454
329252,1364846
331530,10666700
332172,8761747
333856,12176023
333856,16011944
334689,505303
334689,9929669
335366,13780226
335957,15031609
336723,2842284
337083,1373987
337083,3418277
337083,13115769
337746,16540271
338142,14858963
338145,3624026
338145,14305399
338145,16156452
339072,1012108
339072,4314694
339072,8200502
339072,13375152
339092,5743079
339092,12899358
342360,5160616
342360,14106674
342360,15285601
342695,377606
342695,9917140
342695,12176023
343819,6997767
343819,13363801
346690,1464291
348444,5249855
350998,8382662
351354,2896997
352308,11455548
352907,923777
352907,3551380
352907,6411134
352907,7391749
352907,7479221
352907,9990719
352907,10199955
354673,2607711
356079,13751141
358317,4099215
360496,16102817
362913,5155236
364152,1300135
369599,1932094
369599,2834259
369599,5167540
369599,11447334
369599,14502252
369599,16437866
371990,6045696
373270,9062674
374014,182970
374014,804528
374014,1938261
374014,2802212
374014,3000808
374014,3481392
374014,4784665
374014,4939520
374014,5307569
374014,5403165
374014,7651034
374014,8101879
374014,8699842
374014,9396188
374014,9399856
374014,10119002
374014,10996788
374014,11003926
374014,11022095
374014,11288681
374014,11555228
374014,11710257
374014,11783017
374014,13527841
374014,16061330
374133,2641240
374133,4405574
374133,4827291
374133,5124587
374133,5583687
375349,4358610
376153,982595
377066,392229
377066,5726239
377066,9381627
377066,9589556
377066,10518136
377066,10518509
377066,12221957
377066,14850917
377066,14859060
378816,1440086
380195,10156153
380195,10594333
381049,12772160
383492,11021202
386075,9161784
391330,2393767
391330,8151525
393655,6551251
393655,14664561
397359,5488993
397404,2421304
397404,3149294
397404,3475821
397404,3718101
397404,3726388
397404,4709212
397404,4839053
397404,7408952
397404,9308391
397404,9640186
397404,9657736
397404,10835011
397404,14367941
400172,12884422
403324,61521
403324,5274146
403324,6912849
403324,10781846
403324,13249345
403582,6142944
403708,8617148
403708,9498381
403708,16226758
403900,116041
403900,2942097
403900,6699438
403900,6879102
403900,10458998
403900,12736026
403964,1537522
406940,7329330
418801,5479729
418801,8675710
418801,15126081
418801,16428251
421370,704320
421370,8258016
427940,5038382
432388,9456275
432388,13639081
432855,12906731
432855,14995351
433665,9502528
433894,1960814
433894,2495656
433894,3274596
433894,4026484
433894,10048493
433894,14554702
434900,2340264
436122,3149727
436122,9776245
436122,10335304
436122,14361329
436825,3042422
437032,12822934
440135,10490059
440502,15027685
440661,11797751
441952,12559193
444778,12893643
449997,12822934
450094,7886721
450673,5949363
453265,5604161
453265,8902533
453265,11035999
453265,13011727
453265,16004711
453265,16490069
455387,1512304
459952,3546002
459952,6692967
462842,6063264
462842,11534093
462842,12535957
463673,9318937
464730,4774594
464730,7349639
467143,16140472
467143,16496678
467197,1904819
467197,3732512
467197,3926504
469679,2340264
469679,4751754
469679,11503373
476617,817010
476617,2076511
476617,6647021
476617,7947781
476617,9565998
476617,10385488
476617,10703660
476617,10955105
476617,11481210
476617,16196500
481950,15052990
492507,15246285
492948,16174648
493927,9776245
495057,4319623
499301,16538722
500295,10709794
501825,526369
508972,2859882
508972,4889717
508972,5309938
508972,8258016
508972,10569059
508972,11317508
508972,12242556
508972,12438234
508972,14544236
509857,14710623
512221,1482286
512221,2011019
512221,2664151
512221,7360858
512221,10166104
512221,13165919
512413,13227006
513260,6234739
520782,2899266
520902,7888252
521154,1079599
521154,1160220
521154,4199480
521154,8061380
521154,8955998
521154,10119590
521154,10385488
521154,12102944
521154,13396143
523417,1913679
526034,11538110
528734,4037692
528734,12888124
531185,12620640
534821,2354950
534821,14789402
535862,170349
535862,3468621
535862,4764377
535862,7693212
535862,10476039
535862,10557274
535862,11318400
535862,11364310
535862,12507090
535862,12612783
535862,12657551
535862,12776110
542860,1778847
542860,3979972
542860,11678912
543861,3979934
543861,8344500
543861,10772052
544158,14198847
544833,5246877
544833,5488746
547167,6894648
547167,13934551
548348,10625472
551509,2288266
551509,2636456
551509,3922593
551509,8871475
551509,10147308
551509,14673270
552718,3162994
554399,3471312
554487,15464849
555858,1377773
555858,3753954
555858,6531518
555858,8448321
555858,15107027
556662,6239393
556662,9258618
560175,4638584
560497,2657010
560497,11314026
560497,14070693
560699,3283145
560699,3563485
567929,2253466
567929,6396414
567942,3131112
569258,8166547
569258,14000871
570398,211814
570398,383290
570398,1481418
570398,2146909
570398,5604161
570398,7075595
570398,7888101
570398,8821325
570398,8902533
570398,10292340
570398,11035999
570398,14038510
570398,14924476
573304,2615096
573304,3830573
582681,8334438
582681,14428606
584383,14239292
584385,10729720
586995,121704
589083,1901163
589698,113093
589953,16106349
596805,1951310
596805,7119277
596805,7553076
596805,10657496
597297,973596
597297,13188405
597475,4449507
597475,12805858
597715,4098107
598224,2764926
598224,2802212
598224,4784665
598224,7598083
598224,11360676
598224,12547591
598224,13777618
598224,14304087
598224,14535342
598224,15130796
598224,15925187
598734,885422
601266,5959131
602607,7592347
607138,14825201
607524,9474201
608287,1584366
609481,37027
609481,14762384
610755,10703660
611940,6936652
611940,10106804
620039,11132512
622115,5368518
625434,12865680
625914,5741257
626848,8057197
627541,2212129
628342,2511703
628354,1826630
628354,3032722
630594,3561801
630594,10301209
630594,11444654
630594,12755573
631616,7019908
634685,3927934
635226,7689172
638875,2893529
639950,7376756
642614,5594882
645357,8059816
645357,10231335
646048,8998695
649032,14185482
650528,3156376
650528,16011944
653827,11024370
653924,8717238
658743,2039476
663328,5735695
667006,9674672
667397,8659068
673855,7479221
673855,9595199
673855,9696529
675870,6575499
675870,8344500
675870,10772052
680667,12528629
682067,3641296
687406,16609273
692762,3600366
693987,5776034
693987,8560998
695213,9671341
696329,1901737
696329,8619372
696329,8906255
696329,10922589
696329,11409917
696329,14542058
696329,15628129
698913,5772107
698913,9258618
699486,2730457
699486,3777000
699486,9687755
699486,10335835
699486,10537533
699486,11361744
701388,357518
701388,14437542
702983,406356
704974,13285963
709785,4199480
709785,9228904
709785,10476039
709785,10639992
709785,15867585
710643,1144731
710643,2043771
710643,3433851
710643,3755726
710643,9456275
710643,12856821
710643,14356426
710643,14651878
710643,15947462
711757,14515206
712451,8588658
712452,302533
712452,3510282
712452,12821343
712452,15654765
714016,8657004
714448,7829194
714568,196278
720147,11019258
720147,14330934
720400,10400390
720400,13157996
721404,8233566
727564,8110497
729411,996877
730672,2764926
730672,2802972
730672,6804700
730672,9953511
730696,611751
731525,6411094
731889,3544624
731889,8106362
732044,9402728
732135,10200834
732135,12398594
732540,8959367
736609,13928882
738360,1257066
740105,3497527
741680,879917
741680,3441064
741680,4363502
741680,5632073
741680,5783969
741680,7420362
741680,7458673
741680,10568795
741680,11130425
741680,11281860
741680,11550155
741680,11627995
741680,12159749
741680,14679969
741680,16515490
741680,16538722
745892,9776245
746186,11415388
746514,7083420
746514,11830206
746514,16679615
746878,8103420
746878,8118736
746878,15445174
747307,1492788
747307,2444869
747307,12487199
747416,6610720
750827,8373418
752049,1602640
753283,8908499
753283,14183526
756359,14652714
757271,3432853
757271,13535088
764926,12087807
766381,14710623
769612,4358610
772446,5626440
774547,6652679
774879,16027522
779288,4358610
779288,5635068
779288,7197155
779288,7989505
779288,8473788
779288,8723609
779288,9159904
779288,11095551
779288,14673468
779634,402853
779634,5476314
779915,2540010
782782,10863899
791961,2115273
792948,4199480
794859,15059797
805100,856021
805100,16723358
808082,15350731
814399,14001910
815778,11761669
819381,3944472
819381,3979934
819381,4199480
819381,4240052
819381,5461342
819381,12657551
819381,16027522
819381,16490561
821226,7834082
828541,8901673
828541,13933640
830057,3664451
830057,4695405
830057,4889717
830057,5397302
830057,5604161
830057,8337738
830057,12242556
830057,16102082
830295,14740826
831409,1218377
833695,14406909
834135,737107
834135,3914626
837262,10518509
837412,14596028
838936,12971644
841177,3508869
841177,4695405
841177,7077875
841177,11541219
841177,15916817
843521,392367
843521,1490514
843521,1612993
843521,6239393
843521,6303614
843521,9212039
843521,11842650
843521,14917760
843521,16564054
843521,16711911
847223,5554777
848475,2879891
852602,13698878
855658,8252104
857706,196480
857706,1268118
857706,6231988
857706,8396430
857706,9034913
857706,14493294
864204,3556628
866346,1703531
866346,3025411
866346,3700241
866346,8934009
866346,10875678
866346,14423587
866346,14424508
868776,11665581
870279,5633007
870279,15319256
871594,4316962
872880,8168634
878651,5421406
878973,5783969
878973,13083668
879829,13442532
881625,3921156
881625,15800009
881699,5732696
884161,5946401
885693,14046872
889890,11218515
889890,12822934
890746,14102134
890839,9985595
891296,10343824
891313,11318400
891313,12604522
898367,8008829
900290,175828
900290,6107713
901105,6002098
901426,8939971
901426,16553523
908139,6700478
908139,12760500
909083,9028351
909083,10743633
909902,15598991
911259,544355
911259,1685686
911259,3284514
911259,5379161
911259,5454239
911259,5619772
911259,9721340
911259,10156153
911259,10507797
911259,10871246
911259,11776109
911259,12789839
911259,14816587
911259,16537513
911516,4199480
912304,2229172
912304,3056353
912304,4806671
912304,6389311
912304,10359841
912304,11165136
912304,14601933
913828,4325242
913828,10905279
914720,2900897
914720,11633944
914720,11790868
914786,7730040
916687,375730
916687,2668306
916687,3963222
916687,5974283
916687,5995170
916687,10800461
916687,11095551
916687,14356855
916687,14439260
918727,7124352
929426,526875
929426,820060
929426,2024232
929426,2840057
929426,3227586
929426,4455816
929426,5726877
929426,6190919
929426,7136112
929426,8180950
929426,9216575
929426,11267967
929426,13563347
929426,15856634
930579,16723358
936286,2239077
936286,10564185
936629,383290
936629,1976691
936629,5509538
936629,6015278
936629,7955987
936629,7980166
936629,8444833
936629,10292340
936629,15916817
938471,5840333
938471,6802999
942453,12905886
952780,10255203
953125,14724834
960529,3956429
960577,4310798
961215,6029411
966489,16003983
966489,16672125
970519,8334438
970519,15868367
971540,12513895
972860,845348
977295,12248146
977295,13223131
978344,15179969
979256,14185482
979256,15473825
983577,6588789
984689,863335
984689,1449234
984689,1869280
984689,3476576
984689,9095199
984689,10425442
984689,12561104
984689,12587988
984689,13452390
984689,14021608
984689,15897776
995791,381925
997065,425887
997065,771745
997065,2099362
997065,3168682
997065,5717747
997065,6094218
997065,7721876
997065,12802503
997065,13146787
997065,14163903
997065,15528901
1000868,818635
1000868,3113962
1000868,9368687
1000868,11820819
1000868,14198847
1000868,15524738
1000868,16701568
